"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"72","3.44448336","2.569E-5","0.2903193","0.0","5","4","false","龔燕","141.4","5","0","0","0.51110333","false","0","龔燕","50606","0.24290657","PERSON"
"73","3.38353765","2.4991E-4","0.29554865","0.0","9","4","false","龍章","109.11111111","9","0","0","0.52329247","false","0","龍章","168128","0.1635569","PERSON"
"74","3.74500876","0.0","0.26702207","0.0","1","5","false","龍游","157.0","1","0","0","0.45099825","false","0","龍游","0","0.0","PERSON"
"75","3.74500876","0.0","0.26702207","0.0","1","5","false","龍泉","157.0","1","0","0","0.45099825","false","0","龍泉","0","0.0","PERSON"
"76","3.82837128","0.0","0.26120769","0.0","1","5","false","龍任","38.0","1","0","0","0.43432574","false","0","龍任","0","0.0","PERSON"
"77","3.67425569","0.0","0.27216397","0.0","1","5","false","齋陸","258.0","1","0","0","0.46514886","false","0","齋陸","0","0.0","PERSON"
"78","3.80525394","1.0E-8","0.26279455","0.0","3","5","false","齋王","69.0","3","0","0","0.43894921","false","0","齋王","6","1.0","PERSON"
"79","3.72189142","1.61E-6","0.26868059","0.0","5","4","false","齋徐","96.0","5","0","0","0.45562172","false","0","齋徐","2072","0.52197802","PERSON"
"80","3.79404553","3.68E-6","0.2635709","0.0","15","4","false","齋常","38.6","15","0","0","0.44119089","false","0","齋常","3374","0.54492754","PERSON"
"81","3.44028021","0.0","0.290674","0.0","1","4","false","齋何","589.0","1","0","0","0.51194396","false","0","齋何","0","0.0","PERSON"
"82","3.09281961","0.00157733","0.32332956","0.0","17","4","false","齊燮元","120.0","17","0","0","0.58143608","false","0","齊燮元","2771230","0.11142322","PERSON"
"83","3.43957968","1.99E-6","0.2907332","0.0","2","4","false","齊燮","315.0","2","0","0","0.51208406","false","0","齊燮","1098","0.53401361","PERSON"
"84","3.43957968","1.99E-6","0.2907332","0.0","2","4","false","齊求","315.0","2","0","0","0.51208406","false","0","齊求","1098","0.53401361","PERSON"
"85","3.43957968","1.99E-6","0.2907332","0.0","2","4","false","齊孫","315.0","2","0","0","0.51208406","false","0","齊孫","1098","0.53401361","PERSON"
"86","3.67425569","0.0","0.27216397","0.0","1","5","false","鼎元","258.0","1","0","0","0.46514886","false","0","鼎元","0","0.0","PERSON"
"87","3.17267951","1.7636E-4","0.31519099","0.0","4","4","false","黄首民","355.75","4","0","0","0.5654641","false","0","黄首民","410018","0.36685626","PERSON"
"88","3.83747811","1.2E-7","0.26058781","0.0","5","5","false","黄頃蓀","21.0","5","0","0","0.43250438","false","0","黄頃蓀","20","1.0","PERSON"
"89","3.73870403","2.34E-6","0.26747236","0.0","6","4","false","黄錦帆","67.16666667","6","0","0","0.45225919","false","0","黄錦帆","1150","0.42144374","PERSON"
"90","3.74430823","3.19E-6","0.26707203","0.0","4","4","false","黄胤","63.25","4","0","0","0.45113835","false","0","黄胤","3288","0.41225166","PERSON"
"91","3.80105079","2.89E-6","0.26308515","0.0","2","4","false","黄筱彤","38.0","2","0","0","0.43978984","false","0","黄筱彤","148","0.51388889","PERSON"
"92","3.84448336","0.0","0.26011297","0.0","1","5","false","黄盛興","15.0","1","0","0","0.43110333","false","0","黄盛興","0","0.0","PERSON"
"93","3.39684764","9.228E-5","0.2943906","0.0","9","4","false","黄申甫","95.22222222","9","0","0","0.52063047","false","0","黄申甫","121202","0.14676359","PERSON"
"94","3.21821366","5.9776E-4","0.31073139","0.0","12","4","false","黄涵之","101.66666667","12","0","0","0.55635727","false","0","黄涵之","413780","0.11260254","PERSON"
"95","3.47250438","2.486E-5","0.2879766","0.0","6","4","false","黄涵","109.5","6","0","0","0.50549912","false","0","黄涵","11594","0.20204842","PERSON"
"96","3.61471103","2.422E-5","0.27664729","0.0","3","5","false","黄楚九","135.66666667","3","0","0","0.47705779","false","0","黄楚九","29634","0.39607843","PERSON"
"97","3.84448336","0.0","0.26011297","0.0","1","5","false","黄成孚","15.0","1","0","0","0.43110333","false","0","黄成孚","0","0.0","PERSON"
"98","3.84448336","0.0","0.26011297","0.0","1","5","false","黄愼康","15.0","1","0","0","0.43110333","false","0","黄愼康","0","0.0","PERSON"
"99","3.83747811","1.2E-7","0.26058781","0.0","5","5","false","黄塵","21.0","5","0","0","0.43250438","false","0","黄塵","20","1.0","PERSON"
"100","3.82416813","3.0E-8","0.26149478","0.0","2","5","false","黄吉文","40.0","2","0","0","0.43516637","false","0","黄吉文","14","0.92857143","PERSON"
