"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"8209","2.49474528","0.08172814","0.40084253","0.0","2658","3","false","上海總商會","27.04367666","2658","0","262","0.75087579","false","0","上海總商會","6483690386","0.00999757","ORG"
"9051","2.71562166","0.00801104","0.36823981","0.0","395","5","false","上海市黨部","60.21824104","395","0","37","0.71406306","false","0","上海市黨部","535305604","0.02276749","ORG"
"11107","2.57249733","0.00527122","0.38872732","0.0","423","4","false","朱吟江","102.44160584","423","0","40","0.73791711","false","0","朱吟江","273776004","0.01575914","PERSON"
"544","2.72399359","0.00473865","0.36710806","0.0","329","4","false","衛生局","64.828","329","0","36","0.71266774","false","0","衛生局","328310824","0.02453036","ORG"
"3789","2.53749555","0.06681288","0.39408936","0.0","2088","3","false","國民政府","28.82534776","2088","0","232","0.74375074","false","0","國民政府","5303974178","0.01068152","ORG"
"11108","2.56804418","0.00502619","0.3894014","0.0","314","4","false","方椒","109.95744681","314","0","28","0.7386593","false","0","方椒","240343236","0.01676011","PERSON"
"3817","2.72791236","0.00392509","0.36658069","0.0","279","5","false","國商會聯合會","66.75416667","279","0","20","0.71201461","false","0","國商會聯合會","314262784","0.02529979","ORG"
"2466","2.66663698","0.0189573","0.37500417","0.0","938","4","false","市政府","47.1048951","938","0","110","0.72222717","false","0","市政府","1478682864","0.01771902","ORG"
"4927","2.71473103","0.00709326","0.36836062","0.0","416","5","false","全國商會聯合會","61.25239617","416","0","45","0.7142115","false","0","全國商會聯合會","493926216","0.023174","ORG"
"11289","1.7721767","0.32684167","0.56427782","0.0","5091","4","false","王曉籟","32.99652644","5091","0","457","0.87130388","false","0","王曉籟","3636035456","0.00371491","PERSON"
"6654","2.64811186","0.03154525","0.37762755","0.0","1016","4","false","中央","39.04302671","1016","0","122","0.72531469","false","0","中央","2022122472","0.01460946","ORG"
"2019","2.69050588","0.01203964","0.37167731","0.0","629","5","false","新新公司","52.57270694","629","0","75","0.71824902","false","0","新新公司","964905024","0.01982041","ORG"
"1346","2.73111863","0.00452338","0.36615033","0.0","272","4","false","淞滬警備司令部","74.70952381","272","0","29","0.71148023","false","0","淞滬警備司令部","275766206","0.02832803","ORG"
"11229","2.58140363","0.00570867","0.38738614","0.0","368","4","false","姚佐頓","102.41365462","368","0","38","0.73643273","false","0","姚佐頓","254095242","0.01581623","PERSON"
"5375","2.72524047","0.00874063","0.3669401","0.0","326","5","false","交通部","56.36964981","326","0","31","0.71245992","false","0","交通部","388204398","0.02132062","ORG"
"968","2.69727467","0.0173058","0.37074459","0.0","585","4","false","社會局","51.145","585","0","63","0.71712089","false","0","社會局","850599282","0.01927171","ORG"
"11293","2.40648379","0.01673116","0.41554404","0.0","1006","4","false","林康侯","69.4916388","1006","0","90","0.76558603","false","0","林康侯","660374262","0.00972202","PERSON"
"1990","2.7145529","0.0061905","0.36838479","0.0","386","5","false","新華","64.49044586","386","0","46","0.71424118","false","0","新華","520796448","0.0244194","ORG"
"11170","2.62326327","0.00453309","0.38120459","0.0","304","4","false","馮少","107.2826087","304","0","28","0.72945612","false","0","馮少","211508708","0.01715342","PERSON"
"2123","2.58879587","0.04977506","0.38627997","0.0","1578","4","false","政府","32.62797619","1578","0","173","0.73520069","false","0","政府","3766722414","0.01215059","ORG"
"11117","2.46490916","0.01142276","0.40569446","0.0","787","4","false","葉惠鈞","75.46695096","787","0","78","0.75584847","false","0","葉惠鈞","449008826","0.01087744","PERSON"
"6151","2.70992162","0.00500498","0.36901436","0.0","457","4","false","中央黨部","60.35168196","457","0","52","0.71501306","false","0","中央黨部","471197164","0.0227925","ORG"
"11298","2.58425365","0.00502863","0.38695892","0.0","364","4","false","吳藴初","107.92337165","364","0","38","0.73595772","false","0","吳藴初","293865952","0.01674865","PERSON"
"6818","2.72880299","0.00672927","0.36646105","0.0","614","5","false","中國銀行","51.80168776","614","0","87","0.71186617","false","0","中國銀行","315561286","0.01956168","ORG"
"2956","2.71134663","0.00958554","0.36882042","0.0","381","4","false","孫軍","52.09657321","381","0","30","0.71477556","false","0","孫軍","557528544","0.01963742","ORG"
"1027","2.72185607","0.00977864","0.36739635","0.0","298","5","false","省政府","54.99272727","298","0","11","0.71302399","false","0","省政府","451356966","0.02078242","ORG"
"11180","2.55949412","0.00472006","0.39070221","0.0","362","4","false","趙晋卿","110.008","362","0","37","0.74008431","false","0","趙晋卿","267327606","0.0166832","PERSON"
"11011","2.63110082","0.00446456","0.38006905","0.0","249","4","false","翊庭","113.17241379","249","0","19","0.72814986","false","0","翊庭","209970706","0.01815381","PERSON"
"3304","2.67928393","0.0162394","0.37323405","0.0","746","4","false","外交部","46.40319361","746","0","94","0.72011934","false","0","外交部","1190459802","0.01744934","ORG"
