"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"8209","0.08172814","0.40084253","2658","上海總商會","false","上海總商會","ORG"
"246","0.03743519","0.38474454","1509","閘北商會","false","閘北商會","ORG"
"11202","0.01665525","0.41575946","693","王一亭","false","王一亭","PERSON"
"1733","0.02290387","0.37583264","841","永安公司","false","永安公司","ORG"
"11133","0.01317952","0.409512","612","方椒伯","false","方椒伯","PERSON"
"448","0.0157399","0.37288698","673","財政部","false","財政部","ORG"
"2718","0.03163458","0.37997902","1309","工商部","false","工商部","ORG"
"4476","0.01790486","0.37343267","763","北伐軍","false","北伐軍","ORG"
"3789","0.06681288","0.39408936","2088","國民政府","false","國民政府","ORG"
"2466","0.0189573","0.37500417","938","市政府","false","市政府","ORG"
"11289","0.32684167","0.56427782","5091","王曉籟","false","王曉籟","PERSON"
"6654","0.03154525","0.37762755","1016","中央","false","中央","ORG"
"1649","0.03987954","0.38225581","1109","江海關","false","江海關","ORG"
"2019","0.01203964","0.37167731","629","新新公司","false","新新公司","ORG"
"968","0.0173058","0.37074459","585","社會局","false","社會局","ORG"
"11293","0.01673116","0.41554404","1006","林康侯","false","林康侯","PERSON"
"3304","0.0162394","0.37323405","746","外交部","false","外交部","ORG"
"11246","0.01613646","0.41585185","709","袁履登","false","袁履登","PERSON"
"2628","0.12606568","0.40991567","3199","工部局","false","工部局","ORG"
"11263","0.01849853","0.41662338","1018","馮少山","false","馮少山","PERSON"
"11200","0.01624163","0.41745985","944","王延松","false","王延松","PERSON"
"2123","0.04977506","0.38627997","1578","國民政府","false","政府","ORG"
"11117","0.01142276","0.40569446","787","葉惠鈞","false","葉惠鈞","PERSON"
