"SUID","BetweennessCentrality","ClosenessCentrality","Degree","name","selected","shared name","Type"
"72","6.822E-4","0.31965567","11","龔秀金","false","龔秀金","PERSON"
"73","6.41E-6","0.27940808","3","齊除","false","齊除","PERSON"
"74","2.898E-5","0.29033099","5","齊柏林","false","齊柏林","PERSON"
"75","6.41E-6","0.27940808","3","齊徐","false","齊徐","PERSON"
"76","4.6E-7","0.27243825","2","鼎謹","false","鼎謹","PERSON"
"77","0.0","0.26836907","1","黛玉葬","false","黛玉葬","PERSON"
"78","0.0","0.26836907","1","黛玉","false","黛玉","PERSON"
"79","3.985E-5","0.28942582","5","黄長興","false","黄長興","PERSON"
"80","3.3657E-4","0.33263661","3","黄日","false","黄日","PERSON"
"81","0.00377823","0.35398793","22","黃金","false","黃金","PERSON"
"82","8.54E-6","0.27870903","3","黃炎","false","黃炎","PERSON"
"83","2.7891E-4","0.31531277","8","黃涵","false","黃涵","PERSON"
"84","6.5772E-4","0.30781984","9","黃日","false","黃日","PERSON"
"85","2.31E-5","0.31371445","3","黃振世","false","黃振世","PERSON"
"86","2.31E-5","0.31371445","3","黃定","false","黃定","PERSON"
"87","0.00165135","0.33243808","7","黃伯度","false","黃伯度","PERSON"
"88","5.1552E-4","0.28396635","10","黃任","false","黃任","PERSON"
"89","2.699E-5","0.27006061","8","麥觀","false","麥觀","PERSON"
"90","1.44E-6","0.27019161","2","鹹杜月","false","鹹杜月","PERSON"
"91","1.253E-5","0.27431667","5","鵬任","false","鵬任","PERSON"
"92","1.1508E-4","0.29185224","7","鴻笙","false","鴻笙","PERSON"
"93","0.0","0.27006061","1","鳳娃","false","鳳娃","PERSON"
"94","1.355E-5","0.27622118","3","魯迅","false","魯迅","PERSON"
"95","6.8512E-4","0.32697388","11","魏軒耀","false","魏軒耀","PERSON"
"96","2.31E-5","0.31371445","3","魏廷","false","魏廷","PERSON"
"97","0.0","0.26657095","1","魏伯禎","false","魏伯禎","PERSON"
"98","0.0","0.26901715","1","魏伯楨","false","魏伯楨","PERSON"
"99","2.871E-5","0.29063397","3","高軒","false","高軒","PERSON"
"100","8.54E-6","0.27870903","3","高特威","false","高特威","PERSON"
"101","1.527E-5","0.27257157","7","高市","false","高市","PERSON"
"102","0.0","0.26914714","1","高仁偶","false","高仁偶","PERSON"
"103","0.0","0.28882551","1","驥爲","false","驥爲","PERSON"
"104","5.288E-5","0.27912804","7","駱淸","false","駱淸","PERSON"
"105","0.0","0.26836907","1","馮婦","false","馮婦","PERSON"
"106","2.0511E-4","0.31477819","12","馬立斯","false","馬立斯","PERSON"
"107","1.107E-5","0.27982919","6","馬祥生","false","馬祥生","PERSON"
"108","2.884E-5","0.27594749","6","馬景","false","馬景","PERSON"
"109","0.0","0.31283347","1","馬國","false","馬國","PERSON"
"110","1.0111E-4","0.31584916","4","馥蘭","false","馥蘭","PERSON"
"111","0.0","0.26914714","1","顧蘭","false","顧蘭","PERSON"
"112","0.0","0.31283347","1","顧無","false","顧無","PERSON"
