"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"6622","2.62117025","0.00834457","0.38150898","0.0","184","4","false","吳市","79.96319018","184","0","15","0.72980496","false","0","吳市","94218032","0.01666945",""
"5641","2.75333413","0.00586868","0.36319602","0.0","114","4","false","宣鐵","117.05504587","114","0","5","0.70777764","false","0","宣鐵","89147074","0.02736502","PERSON"
"8376","2.76655052","0.00417956","0.36146096","0.0","141","5","false","淸華大學","49.41605839","141","0","4","0.70557491","false","0","淸華大學","79298260","0.02892238","ORG"
"4157","2.30517842","0.04685137","0.4338059","0.0","585","4","false","杜月笙","56.91816367","585","0","54","0.78247026","false","0","杜月笙","460697356","0.00978617","PERSON"
"7863","2.77424006","0.00371995","0.36045907","0.0","109","4","false","立法院","47.06730769","109","0","3","0.70429332","false","0","立法院","42831528","0.02753575","ORG"
"8377","2.75069086","0.00836086","0.36354503","0.0","219","4","false","政府","35.00497512","219","0","11","0.70821819","false","0","政府","136361204","0.02031361","ORG"
"8379","2.59665986","0.0786452","0.38511012","0.0","915","5","false","大來集團","14.50177515","915","0","58","0.73389002","false","0","大來集團","1182285234","0.0080704","ORG"
"5128","2.4373423","0.02257516","0.41028295","0.0","397","4","false","徐寄傾","64.19266055","397","0","46","0.76044295","false","0","徐寄傾","231319990","0.01183827","PERSON"
"8382","2.62958068","0.05670706","0.38028877","0.0","753","3","false","新光標準內衣染織整理廠股份有限公司","20.12642045","753","0","41","0.72840322","false","0","新光標準內衣染織整理廠股份有限公司","1154094376","0.01141876","ORG"
"7951","2.75165205","0.01502177","0.36341804","0.0","223","5","false","經濟部","34.445","223","0","18","0.70805799","false","0","經濟部","139890332","0.01999103","ORG"
"7835","2.77039529","0.00410354","0.36095932","0.0","121","5","false","泰昌祥","39.88429752","121","0","0","0.70493412","false","0","泰昌祥","54982504","0.02322837","ORG"
"8383","2.74276102","0.00620931","0.36459611","0.0","255","4","false","工會","32.5042735","255","0","15","0.70953983","false","0","工會","159407216","0.01881976","ORG"
"8385","2.65937763","0.0312246","0.37602783","0.0","601","4","false","美琪","19.09810671","601","0","17","0.72343706","false","0","美琪","681665236","0.01081129","ORG"
"8216","2.70647603","0.03070362","0.36948415","0.0","441","4","false","全國商會聯合會","23.13766234","441","0","42","0.71558733","false","0","全國商會聯合會","355227348","0.01322441","ORG"
"8387","2.74131924","0.01181154","0.36478787","0.0","261","4","false","市政府","33.29045643","261","0","16","0.70978013","false","0","市政府","192672320","0.01930093","ORG"
"7711","2.77399976","0.00172222","0.3604903","0.0","111","5","false","亨利禮服公司","37.88785047","111","0","4","0.70433337","false","0","亨利禮服公司","32141302","0.02204892","ORG"
"8217","2.77448036","0.00497125","0.36042785","0.0","105","5","false","全國和平促進會","40.77142857","105","0","0","0.70425327","false","0","全國和平促進會","38760170","0.02377252","ORG"
"8279","2.74324162","0.01212486","0.36453224","0.0","249","4","false","行政院","33.15517241","249","0","10","0.70945973","false","0","行政院","179281914","0.01920859","ORG"
"2502","2.89462934","0.00318212","0.34546738","0.0","112","4","false","秦潤卿","87.74509804","112","0","9","0.68422844","false","0","秦潤卿","38836242","0.02370085","PERSON"
"8061","2.77279827","0.00342399","0.3606465","0.0","129","5","false","社會部","43.3539823","129","0","14","0.70453362","false","0","社會部","45099940","0.02533133","ORG"
"8326","2.76078337","0.0047681","0.36221603","0.0","164","4","false","福特","32.1509434","164","0","4","0.7065361","false","0","福特","79149936","0.01860869","ORG"
"7874","2.75117145","0.00495704","0.36348153","0.0","207","4","false","天蟾","36.07537688","207","0","7","0.70813809","false","0","天蟾","132167288","0.02095303","ORG"
"8391","2.7571789","0.00950517","0.36268956","0.0","177","4","false","愛德華","34.90804598","177","0","2","0.70713685","false","0","愛德華","99126460","0.0202557","ORG"
"1585","2.63534783","0.00806239","0.37945655","0.0","144","4","false","詹文滸","117.46456693","144","0","12","0.72744203","false","0","詹文滸","114752900","0.0247061","PERSON"
"8162","2.72906404","0.01977902","0.36642599","0.0","329","4","false","中央","29.42268041","329","0","22","0.71182266","false","0","中央","264270772","0.0169789","ORG"
"8394","2.5327406","0.11698059","0.39482922","0.0","1223","3","false","國民大會","15.23486902","1223","0","90","0.74454323","false","0","國民大會","1887842332","0.00849843","ORG"
