id,Type,mc3Degree,mc3Degree_norm,mc3Eig,mc3Betw,mc3Close
國聞通信社,ORG,136,0.009603163395000705,0.03415558038701687,266177.5668644926,2.69432843863667e-5
工商學聨合會,ORG,21,0.0014828414065809915,0.009639033328073749,16358.551366075251,2.6740112843276198e-5
上海工商學聨合會,ORG,1,7.061149555147578e-5,0.00917523827055979,0,2.671154205732297e-5
戒嚴司令部,ORG,46,0.003248128795367886,0.012423726390484368,40696.41069863378,2.678882370275121e-5
奉聞,ORG,1,7.061149555147578e-5,0.009175238270559787,0,2.671154205732297e-5
總商會,ORG,930,0.06566869086287247,0.12682203045266888,4990608.311389778,2.8185687307985006e-5
諸希亮,PERSON,2,1.4122299110295156e-4,0.0020839513747647606,353.8779683854932,2.0454917362133855e-5
上海總商會,ORG,699,0.04935743539048157,0.10030573596746324,2972537.936144823,2.7821829007038923e-5
朱葆三,PERSON,1453,0.10259850303629431,0.4443967202265152,4148470.1594166104,2.8224668360146768e-5
寗波第四中學,ORG,8,5.648919644118063e-4,0.014226754455118739,4813.694548363545,2.6721534884963792e-5
浙江省長,ORG,8,5.648919644118063e-4,0.014226754455118732,4813.694548363545,2.6721534884963792e-5
敎育廳長,ORG,15,0.0010591724332721366,0.014350193277560553,16962.816190583322,2.673153519206608e-5
浙四中學,ORG,8,5.648919644118063e-4,0.014226754455118723,4813.694548363545,2.6721534884963792e-5
佩珍,PERSON,10,7.061149555147578e-4,0.00407849174397891,2441.656664857752,2.0601565718994644e-5
敎育,ORG,8,5.648919644118063e-4,0.014226754455118727,4813.694548363545,2.6721534884963792e-5
宋某,PERSON,5,3.530574777573789e-4,6.53801890320051e-4,2.6617647058823533,1.9394127458205656e-5
朱佩珍,PERSON,217,0.015322694534670245,0.03787957978884311,281603.0739151372,2.2672652246859837e-5
李雲書,PERSON,91,0.006425646095184296,0.02124996704603899,30655.99466094808,2.0530508335386383e-5
李徵五,PERSON,174,0.012286400225956786,0.04065686156084589,169780.12855257955,2.248201438848921e-5
蔣著卿,PERSON,9,6.35503459963282e-4,0.0016442510292769017,278.4708768639288,1.9602462069235897e-5
本埠總商會,ORG,113,0.007979098997316763,0.0491008445596545,242790.3886257921,2.6924423144234134e-5
製造局,ORG,38,0.00268323683095608,0.020799229815186723,33198.57961354509,2.6798874447273214e-5
北京菸酒公賣署,ORG,2,1.4122299110295156e-4,0.009179101983939451,2831.399999998713,2.6712969146520635e-5
上海菸酒公賣菸葉第五分棧,ORG,2,1.4122299110295156e-4,0.009179101983939451,2831.399999998713,2.6712969146520635e-5
江蘇二區分局,ORG,2,1.4122299110295156e-4,0.009179101983939451,2831.399999998713,2.6712969146520635e-5
彭奉,PERSON,5,3.530574777573789e-4,4.211022390620602e-4,5,1.9384352950298517e-5
豫大,ORG,2,1.4122299110295156e-4,0.009179101983939451,2831.399999998713,2.6712969146520635e-5
二區分局,ORG,2,1.4122299110295156e-4,0.009179101983939446,2831.399999998713,2.6712969146520635e-5
段合,PERSON,1,7.061149555147578e-5,0.0011636223473594262,0,2.0145044319097503e-5
馮玉祥,PERSON,31,0.0021889563620957494,0.005301487576158444,10624.394130573879,2.0608358750309126e-5
盧永祥,PERSON,50,0.003530574777573789,0.012573500307951579,52793.04405397819,2.175805047867711e-5
段芝泉,PERSON,8,5.648919644118063e-4,0.005035258033118733,2654.8179511673575,2.0538098172109262e-5
甘肅總商會,ORG,4,2.8244598220590313e-4,0.009208179260382362,5256.227724137948,2.671582378242633e-5
儲金團,ORG,21,0.0014828414065809915,0.011104009615630456,51935.08351953618,2.675442116809803e-5
諸公同鑒,PERSON,4,2.8244598220590313e-4,0.0011967351274233518,95.12412450081071,1.9603999215840032e-5
濟光,PERSON,4,2.8244598220590313e-4,0.001196735127423351,95.12412450081071,1.9603999215840032e-5
陸軍師,ORG,4,2.8244598220590313e-4,0.009208179260382358,5256.227724137948,2.671582378242633e-5
龍濟光,PERSON,4,2.8244598220590313e-4,0.0011967351274233518,95.12412450081071,1.9603999215840032e-5
財政部,ORG,225,0.015887586499082052,0.10091059094433687,785679.8145591234,2.7103943623797262e-5
顧維鈞,PERSON,2,1.4122299110295156e-4,0.0020839513747647593,353.8779683854932,2.0454917362133855e-5
金佛郎,PERSON,10,7.061149555147578e-4,0.004226753698875178,2792.3313703743834,2.0662864699561946e-5
淞滬特别市籌備會,ORG,8,5.648919644118063e-4,0.010236233657118541,38877.16897890452,2.6727248429774155e-5
李平書,PERSON,328,0.023160570540884055,0.09579291745033086,299858.68410020304,2.3222330593098323e-5
北京勸業銀行,ORG,3,2.1183448665442733e-4,0.010055869403440441,6960.652902728831,2.671439638821361e-5
鍾珏歌,PERSON,2,1.4122299110295156e-4,1.8618488059138314e-4,1.3229994995148755,1.9389614922247643e-5
奚如敢,PERSON,1,7.061149555147578e-5,0.0011636223473594264,0,2.0145044319097503e-5
察祺瑞,PERSON,1,7.061149555147578e-5,0.001163622347359426,0,2.0145044319097503e-5
納税華人會,ORG,3,2.1183448665442733e-4,0.009259088161240773,14362.550519687262,2.671439638821361e-5
鄭鴻笙,PERSON,1,7.061149555147578e-5,8.495434004750284e-5,0,1.938209869364655e-5
段祺瑞,PERSON,26,0.0018358988843383702,0.005295161144838445,9319.748167869071,2.0370747606437155e-5
慈鎭交通協濟會,ORG,12,8.473379466177093e-4,0.010087534823650228,33840.4159313977,2.6727248429774155e-5
寗波同鄉會,ORG,82,0.005790142635221014,0.021445653904226963,213416.31203789634,2.6849241508927372e-5
盛丕華,PERSON,54,0.003813020759779692,0.010172131017931376,24194.603169222857,2.07736092068636e-5
洪承祁,PERSON,41,0.002895071317610507,0.0073130301877574674,9494.296258361968,2.0442372950652113e-5
岑庭芳,PERSON,3,2.1183448665442733e-4,3.8127080323251784e-4,12.726780104717665,1.94560099614771e-5
陳布雷,PERSON,2,1.4122299110295156e-4,2.8932452000880244e-4,5.8836007117214155,1.945525291828794e-5
方椒伯,PERSON,311,0.021960175116508968,0.060362172197537534,420591.00503239554,2.3124595319581908e-5
蘇承祖,PERSON,2,1.4122299110295156e-4,2.893245200088025e-4,5.8836007117214155,1.945525291828794e-5
沈馥山,PERSON,2,1.4122299110295156e-4,2.893245200088025e-4,5.8836007117214155,1.945525291828794e-5
洪荆山,PERSON,7,4.942804688603305e-4,7.332620289984301e-4,100.09705189019809,1.9466614755693985e-5
嚴家熾,PERSON,32,0.002259567857647225,0.009008963058997638,13840.51400132369,2.0934516831351533e-5
財政廳長,ORG,28,0.001977121875441322,0.012124752740346112,29218.37840788087,2.6752989646593008e-5
周舜卿,PERSON,104,0.007343595537353481,0.0298728251117869,32400.463741147414,2.078397140125535e-5
高秋荃,PERSON,9,6.35503459963282e-4,0.0016915566214281657,216.23195826255545,1.961476599584167e-5
周肇甫,PERSON,9,6.35503459963282e-4,0.001691556621428165,216.23195826255545,1.961476599584167e-5
劉蔭長,PERSON,6,4.2366897330885467e-4,0.0014302590046945817,111.91451451911136,1.961245783321566e-5
新昌公司,ORG,11,7.767264510662336e-4,0.009554427337082217,27456.749230599282,2.672581981452281e-5
俞襄讞,PERSON,15,0.0010591724332721366,0.0035327425998822695,2386.812639029416,1.9992802591067215e-5
英卓,PERSON,8,5.648919644118063e-4,0.0016045425624566462,169.33374855241775,1.961399654793661e-5
