Source,Target,Relationship
Zhu Baosan,Zhu Xianglin,family
Zhu Baosan,Mrs. Fang,family
Zhu Baosan,Zhu Peiyu,family
Zhu Baosan,Zhu Peizhang,family
Zhu Baosan,Miss Fu,marriage
Zhu Baosan,Siming Guild Hall,association
Zhu Baosan,Xieji,employment
Zhu Xianglin,Dinghai City Camp,service
Zhu Baosan,Ningbo Gang,membership
Zhu Baosan,Venturing Alone to Shanghai,event
Zhu Xianglin,Ningbo Business Traditions,event
Ningbo Gang,Decline of Ningbo Port,event
Zhu Baosan,Rise of Shanghai,event
Zhu Baosan,Journey to Shanghai,event
Zhu Baosan,Li Xingrui,friend
Zhu Baosan,Ye Chengzhong,collaborator
Zhu Baosan,Gu Qingchuan,employee
Zhu Baosan,Wang Xiuzhi,associate
Zhu Baosan,Shao Youlian,associate
Zhu Baosan,Yuan Shuxun,friend
Zhu Baosan,Bishop Paul,dispute
Zhu Baosan,Father Dong,dispute
Zhu Baosan,Shenyu Hardware Store,founder
Zhu Baosan,British P&O Company,comprador
Zhu Baosan,Jilin Manufacturing Bureau,manager
Zhu Baosan,Guangyi Charity Hall,founder
Zhu Baosan,Huaying Pharmacy,investor
Zhu Baosan,Independent Trade Ventures,event
Zhu Baosan,Establishing Shenyu Hardware Store,event
Ye Chengzhong,Relationship with Ye Chengzhong,event
Zhu Baosan,Becoming a Comprador,event
Zhu Baosan,Philanthropy and Social Contributions,event
Zhu Baosan,Managing Boxer Rebellion Indemnity Funds,event
Zhu Baosan,Involvement in Jilin Manufacturing Bureau,event
Zhu Baosan,50th Birthday Celebrations,event
Zhu Baosan,Sheng Xuanhuai,collaborator
Zhu Baosan,Xie Lunhui,manager
Zhu Baosan,Gu Qingchuan,accountant
Zhu Baosan,Yu Qiaoqing,business partner
Zhu Baosan,China Merchants Bank,founder
Zhu Baosan,Siming Commercial Savings Bank,investor
Zhu Baosan,Zhonghua Bank,investor
Zhu Baosan,Zhejiang Industrial Bank,investor
Zhu Baosan,Zhejiang Bank,investor
Zhu Baosan,Establishing China Merchants Bank,event
Sheng Xuanhuai,Operational Challenges and Management,event
Zhu Baosan,Investment in Other Banks,event
Zhu Baosan,Role in Ningbo Banks,event
Zhu Baosan,Philanthropic Contributions,event
Zhu Baosan,Fu Xiaoan,collaborator
Zhu Baosan,Yan Xinhou,collaborator
Zhu Baosan,Zhou Jinlian,collaborator
Zhu Baosan,Yu Qiaoqing,collaborator
Zhu Baosan,Wang Yiting,collaborator
Zhu Baosan,Shen Dunhe,collaborator
Zhu Baosan,Huaxing Fire Insurance Company,founder
Zhu Baosan,Hua'an Fire Insurance Company,founder
Zhu Baosan,Huacheng Insurance Company,founder
Zhu Baosan,Chinese Fire Insurance Association,founder
Zhu Baosan,Yuedong Steamship Company,founder
Zhu Baosan,Shunchang Steamship Company,founder
Zhu Baosan,Zhenchang Steamship Company,founder
Zhu Baosan,Tongyi Commercial Steamship Company,founder
Zhu Baosan,Tongli Machine Spinning Jute Bag Company,founder
Zhu Baosan,Daxing Flour Mill,founder
Zhu Baosan,Lida Flour Mill,founder
Zhu Baosan,Venturing into Insurance Industry,event
Zhu Baosan,Expansion in Banking Sector,event
Zhu Baosan,Involvement in Shipping Industry,event
Zhu Baosan,Investment in Industrial Sectors,event
Zhu Baosan,Supporting Education and Culture,event
Zhu Baosan,Contributions to Red Cross Movement,event
Zhu Baosan,Yuan Shuxun,friend
Zhu Baosan,Zhao Baoyu,associate
Zhu Baosan,De Weimen,dispute
Zhu Baosan,Li Huangshi,associate
Zhu Baosan,Zhou Shengyou,advocacy
Zhu Baosan,Wu Jiren,collaborator
Zhu Baosan,Shanghai Chamber of Commerce,president
Zhu Baosan,Fuxing Park,advocacy
Zhu Baosan,Russian Consulate in Shanghai,dispute
Zhu Baosan,Shanghai Daotai Office,advocacy
Zhu Baosan,Municipal Council of the International Settlement,negotiation
Zhu Baosan,Removing No Chinese and Dogs Allowed Sign,event
Zhu Baosan,Mediation in Zhou Shengyou Case,event
Zhu Baosan,Great Court Case Incident,event
Zhu Baosan,Anti-American Goods Boycott,event
Zhu Baosan,Reducing Taxes for Street Vendors,event
Zhu Baosan,Mediating Cenping Incident,event
Zhu Baosan,Li Pingshu,collaborator
Zhu Baosan,Zeng Zhu,collaborator
Zhu Baosan,Li Weiqing,documenter
Zhu Baosan,Shanghai General Engineering Bureau,leader
Zhu Baosan,Preparatory Constitutional Association,member
Zhu Baosan,Shanghai Tram Company,supporter
Zhu Baosan,Zhejiang Overseas Chinese Association,founder
Zhu Baosan,Participation in Shanghai Uprising,event
Zhu Baosan,Role in Preparatory Constitutional Association,event
Zhu Baosan,Support for Public Utilities and Transportation,event
Zhu Baosan,Participation in Zhejiang Overseas Chinese Association,event
Zhu Baosan,Advocacy and Mediation in Major Incidents,event
