Nodes,Type
Zhu Baosan,individual
Zhu Xianglin,individual
Mrs. Fang,individual
Zhu Peiyu,individual
Zhu Peizhang,individual
Miss Fu,individual
Li Xingrui,individual
Ye Chengzhong,individual
Gu Qingchuan,individual
Wang Xiuzhi,individual
Shao Youlian,individual
Yuan Shuxun,individual
Bishop Paul,individual
Father Dong,individual
Sheng Xuanhuai,individual
Xie Lunhui,individual
Yu Qiaoqing,individual
Fu Xiaoan,individual
Yan Xinhou,individual
Zhou Jinlian,individual
Wang Yiting,individual
Shen Dunhe,individual
Zhao Baoyu,individual
De Weimen,individual
Li Huangshi,individual
Zhou Shengyou,individual
Wu Jiren,individual
Li Pingshu,individual
Zeng Zhu,individual
Li Weiqing,individual
Chen Qimei,individual
Shen Manyun,individual
Tang Shaoyi,individual
Li Yunshu,individual
Shen Lianfang,individual
Tang Zhexian,individual
Miss Xia,individual
Zhu Hongzao,individual
Zhu Hongda,individual
Zhu Hongkui,individual
Ms. Lü,individual
Ms. Guan,individual
Zhu Ziheng,individual
Zhu Zizhao,individual
Wei Tingrong,individual
Zhu Zikui,individual
Siming Guild Hall,organization
Xieji,organization
Dinghai City Camp,organization
Ningbo Gang,organization
Shenyu Hardware Store,organization
British P&O Company,organization
Jilin Manufacturing Bureau,organization
Guangyi Charity Hall,organization
Huaying Pharmacy,organization
China Merchants Bank,organization
Siming Commercial Savings Bank,organization
Zhonghua Bank,organization
Zhejiang Industrial Bank,organization
Zhejiang Bank,organization
Huaxing Fire Insurance Company,organization
Hua'an Fire Insurance Company,organization
Huacheng Insurance Company,organization
Chinese Fire Insurance Association,organization
Yuedong Steamship Company,organization
Shunchang Steamship Company,organization
Zhenchang Steamship Company,organization
Tongyi Commercial Steamship Company,organization
Tongli Machine Spinning Jute Bag Company,organization
Daxing Flour Mill,organization
Lida Flour Mill,organization
Shanghai Chamber of Commerce,organization
Fuxing Park,organization
Russian Consulate in Shanghai,organization
Shanghai Daotai Office,organization
Municipal Council of the International Settlement,organization
Shanghai General Engineering Bureau,organization
Preparatory Constitutional Association,organization
Shanghai Tram Company,organization
Zhejiang Overseas Chinese Association,organization
Shanghai Liberation Movement,organization
Ningbo Merchant Association,organization
Shanghai Military Government,organization
Shanghai General Chamber of Commerce,organization
Shanghai Commercial Meeting Office,organization
Ningbo Association,organization
Changchun Medical Bureau,organization
Jiji Relief Association,organization
Ningbo Merchant Home for the Aged,organization
Shenyu Primary School,organization
Yizhi School,organization
Chinese Red Cross Society,organization
Shanghai News Publishing Bureau,organization
Ningbo Native Association in Shanghai,organization
China Commercial Bank,organization
