DocId,Date,Title,Source
SPSP190302050313,19030205,開廠施粥,shunpao
SPSP192401271021,19240127,寧波,shunpao
SPSP192103131023,19210313,旅滬甬商關心桑梓敎育,shunpao
SPSP191812041002,19181204,商界主張改正稅則電,shunpao
SPSP190305080909,19030508,丁甘仁善士令堂壽儀令郞儀移助本堂安懷捐淸單,shunpao
SPSP191911121111,19191112,關於賑務之消息,shunpao
SPSP190710012003,19071001,五月初一日起至八月三十日止經收藥捐淸單,shunpao
SPSP190103260907,19010326,庚子臘月份諸善士各寳號樂助施米捐總數登左,shunpao
SPSP190403020909,19040302,癸卯十二月十七日至三十日止施米施衣及藥捐清單,shunpao
SPSP190401241003,19040124,十一月份經收月捐清單,shunpao
SPSP190302090903,19030209,眼前功德,shunpao
SPSP190110311001,19011031,八月朔日起至月望日止雜項捐清單,shunpao
SPSP190203170908,19020317,正月份月捐清單,shunpao
SPSP190403221001,19040322,正月份經收月捐清單,shunpao
SPSP190404281004,19040428,二月份經收月捐淸單,shunpao
SPSP190307011005,19030701,五月份經收月捐清單,shunpao
SPSP190305100905,19030510,三月份經收月捐淸單,shunpao
SPSP190304110908,19030411,二月份經收各善士寳號月捐淸單,shunpao
SPSP190211110905,19021111,九月份經收月捐淸單,shunpao
SPSP190203020907,19020302,米捐總數,shunpao
SPSP190201230905,19020123,十一月份經收月捐清單,shunpao
SPSP190112220907,19011222,十月分經收月捐清單,shunpao
SPSP190101290910,19010129,十一月月捐淸單,shunpao
SPSP194610060612,19461006,小姐交友不當心。·誤入毒門被牽連,shunpao
SPSP190206180906,19020618,四月份經收月捐清單,shunpao
SPSP190105021001,19010502,正二月捐淸單,shunpao
SPSP190009301004,19000930,七八月份月捐清單登左,shunpao
SPSP190602141106,19060214,乙巳十一月十三日至丙午元月初七日施米捐清單,shunpao
SPSP190406071001,19040607,三月份經收月捐清單,shunpao
SPSP190804122007,19080412,二月份經收月捐清單,shunpao
SPSP190608281003,19060828,五六月份經收月捐清單,shunpao
SPSP190101050909,19010105,十月份月捐淸單,shunpao
SPSP192008111107,19200811,旅滬台屬水災急賑會乞賑電,shunpao
SPSP190702041809,19070204,銅洋助賑第二次報告,shunpao
SPSP191209010729,19120901,來件,shunpao
SPSP191502230202,19150223,命令,shunpao
SPSP191110241903,19111024,華洋義賑會之交替譚,shunpao
SPSP190310281004,19031028,七八月月捐淸單,shunpao
SPSP190306141002,19030614,三四月份經收月捐清單,shunpao
SPSP190205160908,19020516,三月份經收月捐淸單,shunpao
SPSP190108251001,19010825,五六月份月捐,shunpao
SPSP190412031004,19041203,九月份經收月捐洋貨號秋季捐淸單,shunpao
SPSP190409031004,19040903,六月份經收月捐淸單,shunpao
SPSP190601031003,19060103,十月十一日份經收月捐清單,shunpao
SPSP190607071011,19060707,四月閏四月份經收月捐清單,shunpao
SPSP190312311004,19031231,十月經收月捐淸單,shunpao
SPSP190406241002,19040624,四月份經收月捐清單,shunpao
SPSP190611110909,19061111,七八月經收月捐淸單,shunpao
SPSP190809122603,19080912,經收七月份月捐清單,shunpao
SPSP190008030909,19000803,五六月份月捐清軍,shunpao
SPSP190302021201,19030202,光緖二十九年孟春日上海北市六馬路西首仁濟善堂同人陳作霖,shunpao
SPSP191701130205,19170113,又令,shunpao
SPSP192401111105,19240111,寧波,shunpao
SPSP191611051006,19161105,上海總商會致南京電,shunpao
SPSP194704190410,19470419,朱葆三路恢復原名,shunpao
SPSP192301150704,19230115,杭州快信,shunpao
SPSP190111130905,19011113,七八九月經收月捐淸單,shunpao
SPSP190011301001,19001130,閏八月九月月捐淸單,shunpao
SPSP190410261002,19041026,七八月份經收月捐清單,shunpao
SPSP190604301001,19060430,正二三月經收月捐清單,shunpao
SPSP190705012009,19070501,正二月份經收月捐清單,shunpao
SPSP190709202009,19070920,六七两月份經收月捐清單,shunpao
SPSP191810111016,19181011,總商會電賀徐總統就任,shunpao
SPSP190112130315,19011213,澤被故鄉,shunpao
SPSP190909291914,19090929,官事。,shunpao
SPSP192407272203,19240727,醫訊一束,shunpao
SPSP190106290908,19010629,富貴壽考,shunpao
SPSP191707061110,19170706,紅會時疫醫院明日開幕,shunpao
SPSP191611051005,19161105,上海總商會又致北京電,shunpao
SPSP191205260205,19120526,寧波旅滬同鄕會電,shunpao
SPSP191904080710,19190408,南滙,shunpao
SPSP190107120314,19010712,仁術仁心,shunpao
SPSP189804020303,18980402,四明開礦,shunpao
SPSP191907261105,19190726,振餘廠控告總商會之結果,shunpao
SPSP190511031007,19051103,定期施粥,shunpao
SPSP190302120906,19030212,功德無量,shunpao
SPSP190707152004,19070715,滬北天后宫前廣益善堂三四五月經收月捐淸單,shunpao
SPSP190807142801,19080714,廣肇公所收捐報告,shunpao
SPSP190808142706,19080814,經收六月份月捐清單,shunpao
SPSP194706270425,19470627,溪口路恢復原名　仍稱為朱葆三路,shunpao
SPSP190205230308,19020523,速來領孩,shunpao
SPSP190511161003,19051116,戲資助賑,shunpao
SPSP190407270909,19040727,保赤慈幼,shunpao
SPSP190209120905,19020912,先聲之導,shunpao
SPSP190301120904,19030112,有求必應,shunpao
SPSP190104160314,19010416,册捐誌謝,shunpao
SPSP190009260905,19000926,永錫爾祉,shunpao
SPSP190509061103,19050906,美意延年,shunpao
SPSP190406120311,19040612,湯餅移捐,shunpao
SPSP190703101901,19070310,施種牛痘,shunpao
SPSP190003200908,19000320,錫爾純嘏,shunpao
SPSP190409071003,19040907,建醮捐淸單,shunpao
SPSP190409300301,19040930,放砲何爲,shunpao
SPSP190001140906,19000114,繼志述事,shunpao
SPSP190004150902,19000415,善捐誌谢,shunpao
SPSP190003290906,19000329,綏以多福,shunpao
SPSP190208070311,19020807,是乃仁術,shunpao
SPSP190310110310,19031011,施種牛痘,shunpao
SPSP190207300313,19020730,仁北慈隱惻,shunpao
SPSP190411100313,19041110,定期施粥,shunpao
SPSP190603291903,19060329,義塾增額,shunpao
SPSP192006161113,19200616,湖北義賑會之結束,shunpao
SPSP189912170904,18991217,及時施濟,shunpao
SPSP190011050909,19001105,康彊逢吉,shunpao
SPSP191012141804,19101214,華洋義振會會塲紀事續誌,shunpao
SPSP192008011108,19200801,四明公所募捐消息,shunpao
SPSP190307031006,19030703,樂善可風,shunpao
SPSP190011290905,19001129,同修善果,shunpao
SPSP190411180310,19041118,推解情殷,shunpao
SPSP190508111206,19050811,自求多福,shunpao
SPSP190512121007,19051212,自求多福,shunpao
SPSP190601161102,19060116,羣黎徧德,shunpao
SPSP190607151016,19060715,閏四月廿一日至五月二十日施藥捐清單,shunpao
SPSP190808071905,19080807,禀准保護善舉,shunpao
SPSP192403201405,19240320,旅滬甬人請免調寗波稅務司,shunpao
SPSP190003040905,19000304,功德無量,shunpao
SPSP190101010907,19010101,善氣彌綸,shunpao
SPSP190011060906,19001106,筵資移助,shunpao
SPSP190011130907,19001113,種種陰功,shunpao
SPSP191911031109,19191103,關於賑務之消息,shunpao
SPSP190207210906,19020721,五月經收各寳號諸善士月捐清單,shunpao
SPSP190805162010,19080516,三月份經收月捐清單,shunpao
SPSP194206230422,19420623,麥蘭區,shunpao
SPSP191510061008,19151006,籌議擴張餘干煤礦紀聞,shunpao
SPSP190307031007,19030703,施醫贈藥一文愿册捐清單,shunpao
SPSP190307120907,19030712,明德惟馨,shunpao
SPSP190109210313,19010921,勸節中秋筵資以充善舉說,shunpao
SPSP190210050309,19021005,善欵彚登,shunpao
SPSP190210270313,19021027,善捐誌謝,shunpao
SPSP190201160904,19020116,福並增,shunpao
SPSP190112090314,19011209,定期施粥,shunpao
SPSP190203260906,19020326,加福增夀,shunpao
SPSP190207270310,19020727,降福孔多,shunpao
SPSP190411120316,19041112,添設西塾,shunpao
SPSP190407110906,19040711,孝思維則,shunpao
SPSP190410250313,19041025,至諴感神,shunpao
SPSP190602021108,19060202,華英兩塾,shunpao
SPSP190507260311,19050726,寓滬浙省紳商議定自辦全浙鐵路致京師各電,shunpao
SPSP190907102611,19090710,賑務,shunpao
SPSP190908292604,19090829,第三次清單,shunpao
SPSP191704111102,19170411,商界挽留税務所長,shunpao
SPSP189911250314,18991125,有開必先,shunpao
SPSP190003060907,19000306,壽筵移助,shunpao
SPSP191205050726,19120505,來件,shunpao
SPSP191801311013,19180131,法領對於售劵助賑之諮詢,shunpao
SPSP194112050707,19411205,朱葆三路大火　俄救火員授獎,shunpao
SPSP192008031107,19200803,旅滬台人開會籌賑,shunpao
SPSP190308310311,19030831,再添名醫,shunpao
SPSP190309281002,19030928,法良意美,shunpao
SPSP190305210910,19030521,各洋貨號春季捐清單,shunpao
SPSP190302100312,19030210,康彊逢吉,shunpao
SPSP190211290310,19021129,修德獲報,shunpao
SPSP190204170903,19020417,馬路工程局紀事,shunpao
SPSP190204210907,19020421,施及其時,shunpao
SPSP190201020313,19020102,飢寒戴德,shunpao
SPSP190202170313,19020217,開廠施粥,shunpao
SPSP190203240315,19020324,恩膏疉沛,shunpao
SPSP190107110908,19010711,熾昌壽臧,shunpao
SPSP190012160904,19001216,法良意美,shunpao
SPSP190010080908,19001008,泉壤銘恩,shunpao
SPSP190206080312,19020608,請還捐册,shunpao
SPSP190104250906,19010425,仁施渥沛,shunpao
SPSP190010290910,19001029,廣益堂捐欵淸單,shunpao
SPSP190012300906,19001230,加福增壽,shunpao
SPSP190410140317,19041014,介爾景福,shunpao
SPSP190501280314,19050128,志切安懷,shunpao
SPSP190601061102,19060106,恩膏疉沛,shunpao
SPSP190602151201,19060215,情毁樂善,shunpao
SPSP190605141809,19060514,各洋貨號春季捐清單,shunpao
SPSP190604161812,19060416,介爾景福,shunpao
SPSP190403220307,19040322,恩深挾纊,shunpao
SPSP190403300906,19040330,樂善可風,shunpao
SPSP190703211902,19070321,丙午年冬季各洋貨號捐淸單,shunpao
SPSP190609061002,19060906,各洋寶號夏季清册,shunpao
