"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","Type"
"4.10291892","1.3E-6","0.24372892","0.0","2","7","false","兪宗","17.5","2","0","0","0.65523123","false","0","兪宗","10114","0.825","PERSON"
"3.97621622","1.794E-5","0.25149538","0.0","3","6","false","周君","16.0","3","0","0","0.66930931","false","0","周君","117098","0.46875","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","韓少懷","513.5","2","0","0","0.72273874","false","0","韓少懷","7474","0.51147705","PERSON"
"3.19308108","0.0023","0.31317714","0.0","24","7","false","四明公所分醫局","63.75","24","0","0","0.75632432","false","0","四明公所分醫局","8156632","0.10763293","ORG"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","岑仰良","513.5","2","0","0","0.72273874","false","0","岑仰良","7474","0.51147705","PERSON"
"3.12475676","7.926E-4","0.32002491","0.0","47","7","false","根壽堂","48.9787234","47","0","0","0.76391592","false","0","根壽堂","11343260","0.07531982","ORG"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","周少農","513.5","2","0","0","0.72273874","false","0","周少農","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","3","7","false","朱竹坪","513.5","3","0","1","0.72273874","false","0","朱竹坪","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","張紫棠","513.5","2","0","0","0.72273874","false","0","張紫棠","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","吳伯章","513.5","2","0","0","0.72273874","false","0","吳伯章","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","朱芸齋","513.5","2","0","0","0.72273874","false","0","朱芸齋","7474","0.51147705","PERSON"
"3.88064865","4.6787E-4","0.25768888","0.0","13","6","false","葉樹德堂","33.61538462","13","0","0","0.67992793","false","0","葉樹德堂","16919898","0.16725838","ORG"
"3.49535135","3.3E-6","0.28609427","0.0","4","7","false","李文瀾","513.5","4","0","1","0.72273874","false","0","李文瀾","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","3","7","false","岑曙嵐","513.5","3","0","1","0.72273874","false","0","岑曙嵐","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","3","7","false","陳偉生","513.5","3","0","1","0.72273874","false","0","陳偉生","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","3","7","false","吕孟卿","513.5","3","0","1","0.72273874","false","0","吕孟卿","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","3","7","false","李君意","513.5","3","0","1","0.72273874","false","0","李君意","7474","0.51147705","PERSON"
"4.09210811","8.8308E-4","0.24437282","0.0","42","7","false","董事","11.82926829","42","0","1","0.65643243","false","0","董事","7774678","0.1061693","ORG"
"3.49535135","3.3E-6","0.28609427","0.0","2","7","false","巢仰峰","513.5","2","0","0","0.72273874","false","0","巢仰峰","7474","0.51147705","PERSON"
"3.49535135","3.3E-6","0.28609427","0.0","3","7","false","徐宗揚","513.5","3","0","1","0.72273874","false","0","徐宗揚","7474","0.51147705","PERSON"
"3.9052973","0.00522264","0.25606245","0.0","24","6","false","四明銀行","16.625","24","0","0","0.67718919","true","0","四明銀行","65179044","0.08680556","ORG"
"4.90508108","0.0","0.20387023","0.0","1","7","false","馮吕卜","24.0","1","0","0","0.5661021","true","0","馮吕卜","0","0.0","PERSON"
"4.45318919","1.342E-5","0.22455817","0.0","3","7","false","孫衡甫","31.33333333","3","0","0","0.61631231","true","0","孫衡甫","192662","0.5617284","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","嚴漁","24.0","1","0","0","0.5661021","true","0","嚴漁","0","0.0","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","李嚴孫","24.0","1","0","0","0.5661021","true","0","李嚴孫","0","0.0","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","傅筱","24.0","1","0","0","0.5661021","true","0","傅筱","0","0.0","PERSON"
"3.13772973","0.00179876","0.31870176","0.0","64","7","false","根義","44.75438596","64","0","7","0.76247447","false","0","根義","35186120","0.06967259","ORG"
"4.90508108","0.0","0.20387023","0.0","1","7","false","葵賚民","24.0","1","0","0","0.5661021","true","0","葵賚民","0","0.0","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","倪寳田","24.0","1","0","0","0.5661021","true","0","倪寳田","0","0.0","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","蘇寳善","24.0","1","0","0","0.5661021","true","0","蘇寳善","0","0.0","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","沈洪來","24.0","1","0","0","0.5661021","true","0","沈洪來","0","0.0","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","劉梯青","24.0","1","0","0","0.5661021","true","0","劉梯青","0","0.0","PERSON"
"3.10356757","0.00963051","0.32220984","0.0","40","7","false","董事局","26.275","40","0","0","0.76627027","false","0","董事局","24552320","0.03835357","ORG"
"4.90508108","0.0","0.20387023","0.0","1","7","false","朱説記","24.0","1","0","0","0.5661021","true","0","朱説記","0","0.0","PERSON"
"4.54702703","1.412E-5","0.21992392","0.0","8","7","false","嚴漁三","7.25","8","0","0","0.60588589","true","0","嚴漁三","254330","0.24038462","PERSON"
"4.90508108","0.0","0.20387023","0.0","1","7","false","傳筱","24.0","1","0","0","0.5661021","true","0","傳筱","0","0.0","PERSON"
"3.2","2.4661E-4","0.3125","0.0","11","7","false","四明長生同仁會","109.45454545","11","0","0","0.75555556","false","0","四明長生同仁會","2130856","0.18444651","ORG"
"3.30897297","0.00339892","0.30220857","0.0","27","6","false","徐文明","85.69230769","27","0","1","0.74344745","false","0","徐文明","28638646","0.06791685","PERSON"
"3.20432432","1.2847E-4","0.31207827","0.0","8","7","false","一恕堂","179.25","8","0","0","0.75507508","false","0","一恕堂","1165956","0.30679862","ORG"
"4.01081081","8.12E-6","0.24932615","0.0","3","8","false","翁痌瘝","47.66666667","3","0","0","0.66546547","false","0","翁痌瘝","100562","0.37037037","PERSON"
"2.80605405","0.03428288","0.35637232","0.0","310","6","false","嚴信厚","31.98461538","310","0","25","0.79932733","false","0","嚴信厚","169307404","0.0151811","PERSON"
"3.15848649","0.0031724","0.31660734","0.0","105","6","false","龔心銘","53.90697674","105","0","10","0.76016817","false","0","龔心銘","37058090","0.03599114","PERSON"
"2.75848649","0.03275876","0.36251764","0.0","232","6","false","施則敬","45.57297297","232","0","25","0.80461261","false","0","施則敬","203662282","0.02005984","PERSON"
"2.21837838","0.31765279","0.45077973","0.0","687","6","false","朱葆三","25.92294221","687","0","57","0.86462462","true","0","朱葆三","1147580638","0.00812616","PERSON"
"3.21513514","9.502E-5","0.31102892","0.0","8","7","false","四明長生會","151.375","8","0","0","0.75387387","false","0","四明長生會","251534","0.26381579","ORG"
