id,Type,mc3Degree,mc3Degree_norm,mc3Eig,mc3Betw,mc3Close
黎九,PERSON,60,0.0043109642189969825,0.07178111626913598,12707.975695546971,2.3777254678174857e-5
仁濟善堂,ORG,43,0.0030895243569478373,0.030833574589524813,90555.16288731233,2.439619419370578e-5
嚴信厚,PERSON,14,0.0010058916510992959,0.007207177736879031,6593.736774265289,2.1862224262696485e-5
陳作霖,PERSON,593,0.042606696364420174,0.6843667354967149,368450.11532818095,2.8244598220590312e-5
朱佩珍,PERSON,1097,0.07881879580399483,0.5483572088082086,4516884.609237879,3.0604437643458305e-5
寗波旅滬同鄕會,ORG,7,5.029458255496479e-4,0.0071334040015805416,14284.71968226238,2.2591722392915236e-5
李徵五,PERSON,95,0.006825693346745222,0.0515832283947056,94724.44064660855,2.435045170087905e-5
虞洽卿,PERSON,1642,0.11797672079321742,1,6140969.208628537,3.283317463965591e-5
佩珍,PERSON,17,0.001221439862049145,0.012099200144758586,939.3454844728753,2.017634122228275e-5
虞和德,PERSON,204,0.01465727834458974,0.08382671758051888,357259.6583352996,2.667164537380311e-5
李雲書,PERSON,52,0.003736168989797385,0.05626890263943388,27906.178580249278,2.4596010527092506e-5
總商會,ORG,615,0.04418738324471907,0.2787470791722847,2686010.5671861228,2.706067002218975e-5
沈鏞,PERSON,120,0.008621928437993965,0.09567946680092979,219368.45479492503,2.6549847338377804e-5
鄒應萱,PERSON,1,7.184940364994971e-5,0.0020659022882965152,0,1.96575652139726e-5
劉樹森,PERSON,18,0.0012932892656990947,0.012164361285426434,649.5402540258742,1.9923890737383197e-5
顧履桂,PERSON,97,0.006969392154045122,0.040245945894137006,133878.3210586418,2.4466028918846182e-5
楊廷棟,PERSON,6,4.3109642189969824e-4,0.002487275067500456,388.294306984188,1.9668390928938105e-5
陳輝德,PERSON,6,4.3109642189969824e-4,0.005994034777295876,254.40843435041876,1.9842450939540053e-5
謝天錫,PERSON,16,0.0011495904583991954,0.007560670092241133,3993.135809383589,2.017634122228275e-5
錢永銘,PERSON,5,3.5924701824974854e-4,0.0037401015239522262,366.67522313251965,1.9787482438609334e-5
榮宗敬,PERSON,23,0.0016525362839488432,0.022899524173493693,19021.635089211883,2.369949046095509e-5
聞漢策,PERSON,1,7.184940364994971e-5,0.0020659022882965157,0,1.96575652139726e-5
薛煥章,PERSON,1,7.184940364994971e-5,0.0020659022882965144,0,1.96575652139726e-5
徐國安,PERSON,1,7.184940364994971e-5,0.002065902288296517,0,1.96575652139726e-5
顧兆德,PERSON,1,7.184940364994971e-5,0.0020659022882965152,0,1.96575652139726e-5
葉鴻英,PERSON,63,0.0045265124299468315,0.05174646816865614,62939.35840526405,2.526081794528507e-5
周湘雲,PERSON,35,0.0025147291277482398,0.02353136123054611,94848.54954396297,2.2042453765953225e-5
薛逸山,PERSON,63,0.0045265124299468315,0.08944695874522142,11578.933181890377,2.3566563759338252e-5
李珊記,PERSON,4,2.8739761459979884e-4,0.009322243134200277,240.23949309951914,2.096831687320459e-5
丁欽齋,PERSON,339,0.02435694783733295,0.19291833610248868,655990.9336767591,2.7804810232170165e-5
王松堂,PERSON,68,0.00488575944819658,0.05589135020492681,60086.3221138527,2.4576666912433335e-5
金百川,PERSON,62,0.0044546630262968815,0.08898383472224591,11354.523157414736,2.3565453045834807e-5
歐陽,PERSON,3,2.1554821094984912e-4,0.001726163657526659,4.278806632302328,1.9068321796998646e-5
李伯元,PERSON,14,0.0010058916510992959,0.020609787744921854,11616.712845272477,2.3508945153630958e-5
